ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
GBP/USD PQO 2pm Fix,"13,857","4,583.89",202.3%,"15,129.71",-8.4%,"14,525","5,712",154.3%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
E-MINI RUSSELL 2000,"158,106",0,-,"107,795.19",46.7%,"131,693",0,-
E-MINI RUSSELL 1000,462,37.11,1145.5%,565.57,-18.3%,516,33,1463.8%
DJ US REAL ESTATE,"2,543",582,336.9%,"1,407.1",80.7%,"1,946",742,162.3%
E-MINI NASDAQ 100,"531,579","179,105.53",196.8%,"333,352.76",59.5%,"427,510","180,245",137.2%
S&P ENERGY SECTOR,922,746.11,23.6%,810.67,13.7%,864,603,43.2%
S&P MATERIALS SECTOR,351,238,47.3%,708.57,-50.5%,539,231,133.0%
S&P FINANCIAL SECTOR,"1,278",631.74,102.2%,"1,035.38",23.4%,"1,150",654,75.9%
S&P HEALTH CARE SECTOR,640,599.37,6.7%,385.52,65.9%,506,533,-5.0%
S&P INDUSTRIAL SECTOR,401,345.21,16.1%,420.62,-4.7%,411,291,41.3%
S&P UTILITIES SECTOR,"1,170",823.84,42.1%,"1,350.33",-13.3%,"1,265",723,74.9%
S&P TECHNOLOGY SECTOR,942,303.53,210.2%,610.19,54.3%,768,243,216.4%
S&P CONSUMER DSCRTNRY SECTO,887,279.42,217.4%,672.33,31.9%,774,376,105.7%
S&P 500,"9,126","5,228.63",74.5%,"4,464.86",104.4%,"6,679","5,380",24.1%
E-MINI MIDCAP,"22,655","13,432.47",68.7%,"15,089.52",50.1%,"18,683","15,676",19.2%
NIKKEI 225 ($) STOCK,"28,931","13,506.11",114.2%,"16,106.19",79.6%,"22,198","13,877",60.0%
NIKKEI 225 (YEN) STOCK,"70,606","43,241.42",63.3%,"40,918.43",72.6%,"55,020","49,331",11.5%
IBOVESPA INDEX,121,59.32,103.2%,34.14,253.0%,75,37,100.8%
S&P CONSUMER STAPLES SECTOR,"1,160",288.42,302.2%,416.33,178.6%,770,270,185.4%
E-MINI S&P500,"2,260,335","1,414,246.42",59.8%,"1,388,257.9",62.8%,"1,802,494","1,423,936",26.6%
S&P 500/VALUE,692,718.21,-3.6%,"1,114.05",-37.9%,914,675,35.4%
S&P 500 GROWTH,0,0.37,-100.0%,0,-,0,0,-100.0%
FT-SE 100,62,12.26,406.4%,56,10.9%,59,15,305.8%
NIFTY 50,931,235.68,295.2%,"1,713.62",-45.6%,"1,342",198,576.8%
E-MINI RUSSELL 1000 GROWTH,436,19.47,2137.6%,266.43,63.5%,347,17,1931.1%
E-MINI RUSSELL 1000 VALUE,509,73.84,589.0%,837.67,-39.3%,681,66,925.3%
NASDAQ BIOTECH,0,0,-,48.38,-100.0%,25,5,415.9%
YEN DENOMINATED TOPIX,32,0,-,0,-,15,0,-
BITCOIN FUTURES,"1,601",0,-,"1,358.38",17.9%,"1,474",0,-
E-mini FTSE 100 (USD),134,0,-,57.05,135.2%,94,1,15121.8%
E-mini FTSE China 50,116,72.58,60.0%,62.76,85.1%,88,93,-5.0%
E-MINI S&P REAL ESTATE SELECT S,180,217.84,-17.3%,174.38,3.3%,177,124,43.1%
FTSE Emerging,9,0,-,10.67,-14.6%,10,1,1333.6%
E-mini ($5) Dow,"346,952","123,346",181.3%,"172,536.48",101.1%,"255,384","124,595",105.0%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
E-MINI RUSSELL 2000,"1,369",0,-,351.67,289.4%,835,0,-
E-MINI NASDAQ 100,"15,122","8,294.42",82.3%,"16,599.57",-8.9%,"15,898","8,444",88.3%
S&P 500,"23,869","19,984.79",19.4%,"14,966.71",59.5%,"19,195","13,906",38.0%
EOW4 EMINI S&P 500,"82,185","47,064.95",74.6%,"67,189.29",22.3%,"74,312","49,939",48.8%
EOW2 S&P 500,"7,441","9,775.95",-23.9%,"11,268.05",-34.0%,"9,450","8,288",14.0%
EOW1 EMINI S&P 500,"66,836","59,228.63",12.8%,"67,237.62",-0.6%,"67,047","55,361",21.1%
EOW1 S&P 500,"3,024","3,823.21",-20.9%,"5,684.67",-46.8%,"4,421","3,389",30.4%
EOM S&P 500,"21,426","8,700.32",146.3%,"17,557.81",22.0%,"19,395","9,080",113.6%
EOM EMINI S&P,"216,429","82,837.16",161.3%,"151,805",42.6%,"182,502","85,424",113.6%
EOW2 EMINI S&P 500,"133,711","58,816.05",127.3%,"60,295.05",121.8%,"95,167","58,771",61.9%
E-MINI S&P500,"535,011","237,689.32",125.1%,"259,957.05",105.8%,"390,608","192,145",103.3%
EOW3 EMINI S&P 500,"322,128","182,596.47",76.4%,"238,072.29",35.3%,"277,999","191,058",45.5%
EOW3 S&P 500,"23,711","17,349.95",36.7%,"37,034.62",-36.0%,"30,706","17,996",70.6%
EOW1 E-MINI RUSSELL 2000 WEEKL,196,0,-,156,25.3%,175,0,-
EOW4 E-MINI RUSSELL 2000 WEEKL,390,0,-,255.62,52.7%,320,0,-
EOW1 E-MINI RUSSELL 2000 WEEKL,168,0,-,88.19,90.6%,126,0,-
EOW2 E-MINI RUSSELL 2000 WEEKL,403,0,-,162.86,147.5%,277,0,-
EOM E-MINI RUSSELL 2000 END OF,447,0,-,157.1,184.6%,295,0,-
EOW3 E-MINI RUSSELL 2000 WEEKL,"1,267",0,-,957.24,32.4%,"1,104",0,-
E-mini ($5) Dow,806,292.11,176.0%,474.43,69.9%,632,304,108.1%
5-YR SWAP RATE,947,"2,470.16",-61.7%,"1,335.19",-29.1%,"1,151","2,775",-58.5%
10-YR SWAP RATE,"2,391","1,993.37",19.9%,"1,668.62",43.3%,"2,012","1,846",9.0%
1-MONTH EURODOLLAR,300,133.63,124.3%,94.38,217.6%,192,151,27.4%
EURODOLLARS,"4,770,266","3,007,672.32",58.6%,"3,319,541.1",43.7%,"4,008,635","3,068,939",30.6%
30-YR BOND,"556,522","376,296.58",47.9%,"316,591.05",75.8%,"430,558","315,782",36.3%
5-YR NOTE,"1,862,560","1,420,569.53",31.1%,"871,543.24",113.7%,"1,342,276","1,092,679",22.8%
10-YR NOTE,"2,713,445","2,032,587",33.5%,"1,568,530.76",73.0%,"2,112,365","1,722,349",22.6%
2-YR NOTE,"1,018,381","571,075.16",78.3%,"391,763.71",159.9%,"689,407","425,729",61.9%
30-YR SWAP RATE,9,49.11,-82.0%,16.19,-45.4%,13,61,-79.3%
ULTRA T-BOND,"318,049","200,607.05",58.5%,"130,208.81",144.3%,"219,433","148,431",47.8%
FED FUND,"371,279","334,010.37",11.2%,"195,572.33",89.8%,"279,033","246,590",13.2%
Ultra 10-Year Note,"310,180","137,039.32",126.3%,"150,570.86",106.0%,"226,385","117,561",92.6%
EURO MIDCURVE,"1,183,038","865,973.05",36.6%,"986,426.48",19.9%,"1,079,817","824,684",30.9%
EURODOLLARS,"1,321,817","841,988.58",57.0%,"806,425.71",63.9%,"1,051,236","718,271",46.4%
30-YR BOND,"180,930","102,371.16",76.7%,"142,944.05",26.6%,"160,987","97,167",65.7%
5-YR NOTE,"255,572","143,200.74",78.5%,"152,076.29",68.1%,"201,237","133,752",50.5%
10-YR NOTE,"917,331","508,993.68",80.2%,"633,564.05",44.8%,"768,353","523,196",46.9%
2-YR NOTE,"32,390","6,090.16",431.8%,"14,590",122.0%,"23,045","4,368",427.6%
ULTRA T-BOND,247,57.63,328.6%,176.71,39.8%,210,80,162.5%
FED FUND,147,125.05,17.3%,35.76,310.0%,88,176,-49.8%
Ultra 10-Year Note,0,56.74,-100.0%,1.19,-100.0%,1,39,-98.4%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
CAISO SP15 EZGNHUB5 MW P,0,0,-,0,-,0,204,-100.0%
ERCOT NORTH ZMCPE 5MW OFFPE,0,0,-,0,-,0,0,-
RBOB GAS,256,91.05,180.9%,210.48,21.5%,232,91,155.6%
ELEC ERCOT DLY PEAK,0,0,-,0,-,0,0,-
ERCOT NORTH ZMCPE 5MW OFFPE,0,0,-,0,-,0,0,-
ERCOT NORTH ZMCPE 5MW PEAK,81,0,-,116.19,-30.2%,100,11,802.4%
ERCOT HOUSTON Z MCPE 5MW PEA,46,0,-,0,-,22,0,-
SINGAPORE JET KERO VS. GASOIL,0,0,-,1.19,-100.0%,1,0,-
PETRO OUTRIGHT EURO,236,356.74,-34.0%,277.9,-15.2%,258,402,-35.9%
MONT BELVIEU LDH PROPANE OPIS,127,187.84,-32.5%,314.52,-59.7%,225,178,26.7%
MONT BELVIEU ETHANE OPIS BALM,16,34.74,-54.5%,11.9,32.6%,14,42,-67.5%
CONWAY NATURAL GASOLINE (OPI,22,8.11,176.6%,1.24,1710.9%,11,6,84.4%
PETROCHEMICALS,287,141.16,103.1%,226.14,26.8%,255,161,58.4%
CONWAY PROPANE 5 DECIMALS S,599,407.42,47.0%,827.71,-27.6%,719,466,54.5%
CONWAY NORMAL BUTANE (OPIS) S,0,36.58,-100.0%,3.81,-100.0%,2,20,-90.2%
MONT BELVIEU NORMAL BUTANE B,21,43.32,-50.5%,76.24,-71.9%,50,52,-4.4%
MONT BELVIEU NATURAL GASOLIN,15,8.42,78.1%,28.33,-47.1%,22,26,-14.7%
IN DELIVERY MONTH EUA,0,0,-,0,-,0,0,-
WTS (ARGUS) VS WTI SWAP,554,80.53,588.2%,515.71,7.5%,534,171,211.6%
ISO NEW ENGLAND PK LMP,0,0,-,0,-,0,0,-100.0%
ELEC NYISO OFF-PEAK,0,0,-,0,-,0,0,-
ELEC MISO PEAK,0,0,-,0,-,0,0,-
TRANSCO ZONE 4 NAT GAS IN,0,0,-,0,-,0,0,-
COLUMB GULF MAINLINE NG B,0,0,-,0,-,0,0,-
HENRY HUB FINANCIAL LAST,80,0,-,62.9,26.4%,71,0,-
ONEOK OKLAHOMA NG BASIS,0,0,-,0,-,0,0,-
TEXAS GAS ZONE1 NG BASIS,0,0,-,0,-,0,0,-
NYISO ZONE C 5MW D AH O P,0,0,-,0,-,0,0,-
PJM NI HUB 5MW REAL TIME,0,"6,043.16",-100.0%,242.86,-100.0%,128,"20,980",-99.4%
NYISO ZONE J 5MW D AH O P,0,"5,768.42",-100.0%,0,-,0,"2,810",-100.0%
NYISO ZONE J 5MW D AH PK,0,268.42,-100.0%,0,-,0,136,-100.0%
NEPOOL W CNT MASS 5MW D A,0,0,-,0,-,0,0,-
PJM COMED 5MW D AH PK,0,0,-,0,-,0,54,-100.0%
NEPOOL CNCTCT 5MW D AH O,0,0,-,0,-,0,0,-
NEPOOL CONECTIC 5MW D AH,0,0,-,0,-,0,0,-
NEPOOL NE MASS 5MW D AH P,0,0,-,0,-,0,0,-
NYISO ZONE C 5MW D AH PK,0,0,-,0,-,0,0,-
PETRO CRCKS & SPRDS NA,"1,596","1,918.16",-16.8%,"2,424.05",-34.2%,"2,031","2,221",-8.6%
SINGAPORE GASOIL,291,343.42,-15.3%,396.1,-26.6%,346,294,17.7%
PETRO OUTRIGHT NA,467,944.16,-50.6%,320.24,45.7%,390,900,-56.7%
CRUDE OIL SPRDS,"2,274",114.74,1881.6%,"4,748.86",-52.1%,"3,573",291,1126.1%
RBOB GASOLINE BALMO CLNDR,35,9.68,259.2%,10.76,223.3%,22,41,-45.9%
ALGON CITY GATES NAT GAS,0,0,-,0,-,0,0,-
NATURAL GAS PHY,"444,954","454,481.26",-2.1%,"675,649.62",-34.1%,"566,069","448,557",26.2%
CRUDE OIL OUTRIGHTS,"2,576",480.89,435.6%,"4,464",-42.3%,"3,567",873,308.8%
ELECTRICITY OFF PEAK,0,0,-,0,-,0,0,-
ELEC FINSETTLED,0,0,-,0,-,0,0,-
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
PETRO CRK&SPRD EURO,495,421.95,17.2%,504.57,-2.0%,500,491,1.9%
FREIGHT  MARKETS,6,2.84,96.3%,46,-87.9%,27,5,483.9%
PLASTICS,37,30,22.8%,15.81,133.0%,26,26,-2.3%
NYH NO 2 CRACK SPREAD CAL,81,10.53,667.5%,41.43,95.0%,60,96,-37.3%
TRANSCO ZONE 6 BASIS SWAP,0,22.53,-100.0%,0,-,0,66,-100.0%
NYISO A,0,0,-,0,-,0,0,-
MINY NATURAL GAS,"1,618","1,677.21",-3.5%,"3,068.9",-47.3%,"2,380","1,972",20.6%
HEATING OIL PHY,"201,380","175,405",14.8%,"216,313",-6.9%,"209,220","170,647",22.6%
DOMINION TRANSMISSION INC,0,416.89,-100.0%,0,-,0,710,-100.0%
TCO BASIS SWAP,0,38.42,-100.0%,0,-,0,23,-100.0%
PJM MONTHLY,0,0,-,0,-,0,0,-
WAHA INDEX SWAP FUTURE,0,0,-,0,-,0,0,-
NY HARBOR HEAT OIL SWP,149,159.53,-6.7%,31.86,367.4%,87,122,-28.3%
EASTERN RAIL DELIVERY CSX,2,36.32,-95.7%,3.57,-55.8%,3,58,-95.5%
HTG OIL,0,0,-,0,-,0,0,-
EUROPE 3.5% FUEL OIL MED,15,3.16,375.0%,5.48,173.9%,10,22,-53.7%
AEP-DAYTON HUB  DAILY,0,0,-,0,-,0,0,-
PJM OFF-PEAK LMP SWAP FUT,0,0,-,0,-,0,0,-
AEP-DAYTON HUB OFF-PEAK M,0,0,-,0,-,0,0,-
DOMINION TRAN INC - APP I,0,0,-,0,-,0,0,-
TENNESSEE ZONE 0 BASIS SW,0,0,-,0,-,0,0,-
NEW YORK HUB ZONE J PEAK,0,0,-,0,-,0,0,-
TD3 MEG TO JAPAN 250K MT,26,0,-,13.29,96.5%,19,0,-
FUELOIL SWAP:CARGOES VS.B,16,14.58,9.4%,18.95,-15.9%,18,18,-1.2%
MINY HTG OIL,0,0.21,-25.0%,0.19,-17.1%,0,0,-14.7%
BRENT CALENDAR SWAP,57,235,-75.6%,53.19,7.8%,55,201,-72.6%
EURO GASOIL 10PPM VS ICE,8,0.79,906.6%,9.33,-14.8%,9,5,84.9%
WTI-BRENT CALENDAR SWAP,"1,555",433.74,258.5%,"2,474.81",-37.2%,"2,038",605,237.0%
CENTERPOINT BASIS SWAP,2,28.11,-93.3%,0,-,1,14,-93.4%
PJM NILL DA OFF-PEAK,0,0,-,0,-,0,"3,698",-100.0%
PJM NILL DA PEAK,0,457.53,-100.0%,0,-,0,420,-100.0%
CIN HUB 5MW REAL TIME PK,0,33.16,-100.0%,0,-,0,286,-100.0%
MINY WTI CRUDE OIL,"16,611","10,240.47",62.2%,"9,962.38",66.7%,"13,120","10,755",22.0%
JAPAN C&F NAPHTHA SWAP,95,68.53,38.9%,123.52,-22.9%,110,64,72.8%
LLS (ARGUS) VS WTI SWAP,115,360.26,-68.0%,201.67,-42.9%,161,341,-52.8%
RBOB PHY,"200,791","233,350.05",-14.0%,"204,311.29",-1.7%,"202,639","209,799",-3.4%
NEPOOL RHD ISLD 5MW D AH,0,0,-,0,-,0,0,-
NEPOOL NE MASS 5MW D AH O,0,0,-,0,-,0,0,-
CIN HUB 5MW REAL TIME O P,0,"2,463.16",-100.0%,0,-,0,"1,663",-100.0%
LTD NAT GAS,"19,152","18,318.11",4.6%,"26,716.29",-28.3%,"23,123","16,448",40.6%
NORTHWEST ROCKIES BASIS S,0,9.68,-100.0%,0,-,0,5,-100.0%
SINGAPORE 380CST BALMO,5,16.47,-67.7%,2.62,103.0%,4,10,-60.2%
PJM BGE DA OFF-PEAK,0,0,-,0,-,0,0,-
ULSD 10PPM CIF MED VS ICE,0,0.32,-16.7%,0.43,-38.6%,0,0,127.6%
GULF COAST JET FUEL CLNDR,10,0,-,3,236.8%,6,3,126.0%
SINGAPORE GASOIL SWAP,98,520.89,-81.3%,588.52,-83.4%,355,533,-33.3%
CHICAGO ULSD PL VS HO SPR,30,16.37,84.6%,15.24,98.3%,22,15,51.3%
CIN HUB 5MW D AH PK,60,241.95,-75.3%,62.48,-4.3%,61,145,-57.9%
PJM AD HUB 5MW REAL TIME,0,986.84,-100.0%,242.86,-100.0%,128,"7,045",-98.2%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
TC5 RAS TANURA TO YOKOHAM,8,0,-,2.62,191.4%,5,0,-
Sumas Basis Swap,5,51.05,-90.6%,0,-,2,37,-93.9%
RBOB CRACK SPREAD,22,22.63,-3.5%,76.9,-71.6%,51,33,54.1%
NGPL TEX/OK,36,0,-,331.43,-89.2%,191,0,-
HENRY HUB INDEX SWAP FUTU,0,399.74,-100.0%,218.67,-100.0%,115,356,-67.8%
WTI-BRENT BULLET SWAP,0,0,-,0,-,0,5,-100.0%
NYISO J OFF-PEAK,0,0,-,0,-,0,0,-
EAST/WEST FUEL OIL SPREAD,7,2.89,127.3%,0,-,3,23,-86.4%
TENNESSEE 500 LEG BASIS S,0,0,-,0,-,0,0,-
NORTHEN NATURAL GAS DEMAR,0,0,-,0,-,0,0,-
NEW ENGLAND HUB PEAK DAIL,0,0,-,0,-,0,0,-
WTI CALENDAR,"1,748","2,086.11",-16.2%,"2,267.62",-22.9%,"2,021","2,054",-1.6%
CINERGY HUB PEAK MONTH,0,0,-,0,-,0,0,-
CHICAGO ULSD (PLATTS) SWA,0,0,-,0,-,0,0,-
RBOB CALENDAR SWAP,195,281.26,-30.5%,197.52,-1.1%,197,426,-53.8%
AEP-DAYTON HUB MTHLY,0,0,-,0,-,0,0,-
CRUDE OIL PHY,"1,409,668","1,080,406.74",30.5%,"1,357,325.9",3.9%,"1,382,189","1,101,471",25.5%
N ILLINOIS HUB MTHLY,0,0,-,0,-,0,0,-
NEW YORK ETHANOL SWAP,144,13.16,994.4%,52.86,172.4%,96,30,221.9%
LA CARB DIESEL (OPIS),0,0,-,0,-,0,0,-
GASOIL BULLET SWAP,0,0,-,0,-,0,0,-
RBOB SPREAD (PLATTS) SWAP,0,0,-,0,-,0,0,-
EURO PROPANE CIF ARA  SWA,113,62.37,80.4%,124.9,-9.9%,119,68,75.6%
LA CARBOB GASOLINE(OPIS)S,11,7.89,33.3%,54.76,-80.8%,34,10,229.1%
MCCLOSKY ARA ARGS COAL,"1,961","2,491.74",-21.3%,"1,028.24",90.8%,"1,472","3,193",-53.9%
MCCLOSKY RCH BAY COAL,266,212.53,25.2%,163.95,62.3%,212,377,-43.7%
MGF FUT,0,0,-,3.81,-100.0%,2,0,-
MNC FUT,192,215.21,-10.8%,170.9,12.4%,181,202,-10.4%
MGN1 SWAP FUT,8,7.11,18.5%,4.76,76.8%,7,9,-23.6%
UCM FUT,0,0.58,-100.0%,1.43,-100.0%,1,1,-5.6%
MJC FUT,13,1.58,700.0%,15.71,-19.6%,14,3,405.2%
UP DOWN GC ULSD VS NMX HO,"1,550","2,286.05",-32.2%,"2,467.43",-37.2%,"2,032","2,554",-20.4%
HOUSTON SHIP CHANNEL BASI,0,0,-,0,-,0,0,-
FUEL OIL CRACK VS ICE,181,167.16,8.0%,186.76,-3.3%,184,170,8.2%
NATURAL GAS,"7,553","8,780.11",-14.0%,"11,852.81",-36.3%,"9,810","7,780",26.1%
HUSTN SHIP CHNL PIPE SWP,0,0,-,0,-,0,0,-
N ROCKIES PIPE SWAP,0,0,-,0,-,0,0,-
SOCAL PIPE SWAP,0,0,-,0,-,0,0,-
PANHANDLE PIPE SWAP,0,0,-,0,-,0,0,-
GAS EURO-BOB OXY NWE BARGES,892,"1,062.68",-16.1%,"1,478",-39.7%,"1,200","1,060",13.1%
MONT BELVIEU NATURAL GASOLIN,392,204.11,92.0%,607.76,-35.5%,505,306,65.1%
ONTARIO POWER SWAPS,0,8.16,-100.0%,0.48,-100.0%,0,9,-97.1%
DAILY PJM,0,0,-,0,-,0,0,-
BRENT OIL LAST DAY,"88,155","97,836.42",-9.9%,"66,201.48",33.2%,"76,630","97,433",-21.4%
SINGAPORE GASOIL CALENDAR,11,13.16,-20.0%,203.52,-94.8%,112,11,905.1%
MARS (ARGUS) VS WTI TRD M,899,"1,764.42",-49.0%,"2,629.52",-65.8%,"1,808","1,412",28.0%
MARS (ARGUS) VS WTI SWAP,54,253.16,-78.6%,367.14,-85.2%,219,248,-11.7%
SINGAPORE JET KERO BALMO,9,13.53,-35.8%,0,-,4,7,-37.4%
WTS (ARGUS) VS WTI TRD MT,8,14.21,-44.4%,0,-,4,47,-92.0%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
DUBAI CRUDE OIL BALMO,0,0,-,0,-,0,0,-
EURO 1% FUEL OIL NEW BALM,0,0.26,0.0%,0,-,0,0,-2.5%
PREMIUM UNLD 10P FOB MED,41,2.63,1466.0%,12.52,229.1%,26,4,541.4%
3.5% FUEL OIL CID MED SWA,10,0,-,5.48,87.4%,8,19,-58.8%
JET FUEL CRG CIF NEW VS I,0,0,-,0,-,0,0,-100.0%
ARGUS PROPAN FAR EST INDE,302,83.68,261.0%,338.86,-10.8%,321,74,336.0%
NYISO ZONE G 5MW D AH PK,33,307.89,-89.1%,20,67.1%,26,341,-92.3%
